Number of entities: 1145
Valid tirp: 
event: ['130', '92'], temporal relation: =
event: ['130', '95'], temporal relation: =
event: ['130', '98'], temporal relation: =
event: ['134', '137'], temporal relation: =
event: ['134', '140'], temporal relation: =
event: ['134', '143'], temporal relation: =
event: ['134', '17'], temporal relation: =
event: ['134', '2'], temporal relation: =
event: ['134', '20'], temporal relation: =
event: ['134', '23'], temporal relation: =
event: ['134', '26'], temporal relation: =
event: ['134', '29'], temporal relation: =
event: ['134', '31'], temporal relation: =
event: ['134', '35'], temporal relation: =
event: ['134', '38'], temporal relation: =
event: ['134', '42'], temporal relation: =
event: ['134', '44'], temporal relation: =
event: ['134', '47'], temporal relation: =
event: ['134', '5'], temporal relation: =
event: ['134', '50'], temporal relation: =
event: ['134', '53'], temporal relation: =
event: ['134', '56'], temporal relation: =
event: ['134', '62'], temporal relation: =
event: ['134', '65'], temporal relation: =
event: ['134', '69'], temporal relation: =
event: ['134', '71'], temporal relation: =
event: ['134', '74'], temporal relation: =
event: ['134', '8'], temporal relation: =
event: ['134', '80'], temporal relation: =
event: ['134', '83'], temporal relation: =
event: ['134', '85'], temporal relation: =
event: ['134', '89'], temporal relation: =
event: ['134', '92'], temporal relation: =
event: ['134', '95'], temporal relation: =
event: ['134', '98'], temporal relation: =
event: ['137', '140'], temporal relation: =
event: ['137', '143'], temporal relation: =
event: ['137', '17'], temporal relation: =
event: ['137', '2'], temporal relation: =
event: ['137', '20'], temporal relation: =
event: ['137', '23'], temporal relation: =
event: ['137', '26'], temporal relation: =
event: ['137', '29'], temporal relation: =
event: ['137', '31'], temporal relation: =
event: ['137', '35'], temporal relation: =
event: ['137', '38'], temporal relation: =
event: ['137', '42'], temporal relation: =
event: ['137', '44'], temporal relation: =
event: ['137', '47'], temporal relation: =
event: ['137', '5'], temporal relation: =
event: ['137', '50'], temporal relation: =
event: ['137', '53'], temporal relation: =
event: ['137', '56'], temporal relation: =
event: ['137', '62'], temporal relation: =
event: ['137', '65'], temporal relation: =
event: ['137', '69'], temporal relation: =
event: ['137', '71'], temporal relation: =
event: ['137', '74'], temporal relation: =
event: ['137', '8'], temporal relation: =
event: ['137', '80'], temporal relation: =
event: ['137', '83'], temporal relation: =
event: ['137', '85'], temporal relation: =
event: ['137', '89'], temporal relation: =
event: ['137', '92'], temporal relation: =
event: ['137', '95'], temporal relation: =
event: ['137', '98'], temporal relation: =
event: ['140', '143'], temporal relation: =
event: ['140', '17'], temporal relation: =
event: ['140', '2'], temporal relation: =
event: ['140', '20'], temporal relation: =
event: ['140', '23'], temporal relation: =
event: ['140', '26'], temporal relation: =
event: ['140', '29'], temporal relation: =
event: ['140', '31'], temporal relation: =
event: ['140', '35'], temporal relation: =
event: ['140', '38'], temporal relation: =
event: ['140', '42'], temporal relation: =
event: ['140', '44'], temporal relation: =
event: ['140', '47'], temporal relation: =
event: ['140', '50'], temporal relation: =
event: ['140', '53'], temporal relation: =
event: ['140', '56'], temporal relation: =
